# Gate F — outbound network audit
# captured: 2026-05-24T22:03:16.683Z
# url: http://localhost:3010/
# total requests observed: 127
# requests to localhost / 127.0.0.1 / data: / blob: : 78
# off-site requests: 49

FAIL: off-site requests detected.
- OPTIONS https://api.cesium.com/v1/assets/2/endpoint?access_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJmODUzYTQzYi1jMWM2LTQ2MTEtYWE4OS0wYzIwNTkyNjk1NDMiLCJpZCI6MjU5LCJpYXQiOjE3NzcwOTU1MzF9.pWL_6uenO0yB3nCXJNs8wWT9mic_UBo_d1CYDpwaXdQ  (status=200 type=Other initiator=preflight)
- GET https://api.cesium.com/v1/assets/2/endpoint?access_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJqdGkiOiJmODUzYTQzYi1jMWM2LTQ2MTEtYWE4OS0wYzIwNTkyNjk1NDMiLCJpZCI6MjU5LCJpYXQiOjE3NzcwOTU1MzF9.pWL_6uenO0yB3nCXJNs8wWT9mic_UBo_d1CYDpwaXdQ  (status=200 type=XHR initiator=script)
- GET https://dev.virtualearth.net/REST/v1/Imagery/Metadata/Aerial?incl=ImageryProviders&key=AmXdbd8UeUJtaRSn7yVwyXgQlBBUqliLbHpgn2c76DfuHwAXfRrgS5qwfHU6Rhm8&uriScheme=http  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a0.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a2.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a1.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a3.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-military-aviation@1.0.18/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-borders@1.0.12/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a01.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a03.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a10.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a12.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a20.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a22.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a31.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a33.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a21.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a23.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a30.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a32.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-osm-search@1.5.1/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a00.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a02.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a11.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a13.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-earthquakes@1.1.9/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-daynight@1.0.9/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-conflict-zones@1.1.9/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a031.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a033.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a120.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a122.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-volcanoes@1.1.4/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a011.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a013.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-airports@1.1.3/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a100.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a102.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a030.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a032.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a121.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t2.tiles.virtualearth.net/tiles/a123.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a010.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t1.tiles.virtualearth.net/tiles/a012.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t3.tiles.virtualearth.net/tiles/a101.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET http://ecn.t0.tiles.virtualearth.net/tiles/a103.jpeg?n=z&g=15545  (status=200 type=XHR initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-international-sanctions@1.1.16/dist/frontend.mjs  (status=200 type=Script initiator=script)
- GET https://unpkg.com/@worldwideview/wwv-plugin-gps-jamming@1.0.16/dist/frontend.mjs  (status=200 type=Script initiator=script)

# ----------------------------------------------------------------------
# TRIAGE
# ----------------------------------------------------------------------
# Unique non-localhost origins:
#   api.cesium.com               Cesium Ion default token. SDK contract.
#   dev.virtualearth.net         Bing Maps metadata. SDK contract.
#   ecn.t{0..3}.tiles.virtualearth.net   Bing Maps imagery tiles. SDK contract.
#   unpkg.com                    Marketplace plugin loader. Per doctrine
#                                this is a WWV compatibility constant and
#                                must not be removed in Phase 1.
#
# The Phase 1 telemetry strip is verified clean: zero requests to
# Sentry, GlitchTip, Vercel Analytics, Cloudflare Insights, or any
# analytics.* domain. The off-site requests above are all imagery/SDK
# providers governed by the doctrine's compatibility-contracts rule and
# must be addressed in a later phase (sovereign tile server, plugin
# mirror, or NEXT_PUBLIC_CESIUM_ION_TOKEN / NEXT_PUBLIC_BING_MAPS_KEY
# pointing at controlled accounts).
#
# Gate F outcome: PARTIAL PASS — telemetry-strip target met, sovereign-
# posture target not yet met. Owner decision required for next phase.
